Team,parent,Total,Home Games,Away Games
Northern Mariana Islands,Origin,24,10,14
Norway,Origin,804,398,406
Occitania,Origin,18,9,9
Oman,Origin,450,269,181
Orkney,Origin,21,12,9
Padania,Origin,43,28,15
Pakistan,Origin,190,74,116
Palau,Origin,2,2,0
Palestine,Origin,186,69,117
Panama,Origin,428,196,232
Panjab,Origin,12,4,8
Papua New Guinea,Origin,116,55,61
Paraguay,Origin,716,263,453
Parishes of Jersey,Origin,3,2,1
Peru,Origin,623,280,343
Philippines,Origin,232,101,131
Poland,Origin,815,384,431
Portugal,Origin,613,324,289
Provence,Origin,17,8,9
Puerto Rico,Origin,117,53,64
Qatar,Origin,533,315,218
Réunion,Origin,81,41,40
Raetia,Origin,8,2,6
Republic of Ireland,Origin,566,310,256
Republic of St. Pauli,Origin,4,4,0
Rhodes,Origin,18,11,7
Romani people,Origin,3,1,2
Romania,Origin,694,328,366
Russia,Origin,694,299,395
Rwanda,Origin,244,128,116
Sápmi,Origin,26,18,8
São Tomé and Príncipe,Origin,46,21,25
Saare County,Origin,35,15,20
Saarland,Origin,9,6,3
Saint Helena,Origin,4,1,3
Saint Kitts and Nevis,Origin,179,103,76
Saint Lucia,Origin,199,92,107
Saint Martin,Origin,44,18,26
Saint Pierre and Miquelon,Origin,7,1,6
Saint Vincent and the Grenadines,Origin,146,61,85
Samoa,Origin,51,32,19
San Marino,Origin,163,83,80
Sark,Origin,4,1,3
Saudi Arabia,Origin,623,368,255
Scotland,Origin,781,380,401
Senegal,Origin,529,220,309
Serbia,Origin,275,106,169
Seychelles,Origin,113,51,62
Shetland,Origin,51,22,29
Sierra Leone,Origin,253,109,144
Silesia,Origin,8,8,0
Singapore,Origin,556,293,263
Sint Maarten,Origin,34,17,17
Slovakia,Origin,291,133,158
Slovenia,Origin,247,121,126
Solomon Islands,Origin,170,76,94
Somalia,Origin,107,44,63
Somaliland,Origin,5,2,3
South Africa,Origin,400,223,177
South Korea,Origin,862,468,394
South Ossetia,Origin,14,7,7
South Sudan,Origin,43,22,21
Spain,Origin,694,359,335
Sri Lanka,Origin,201,91,110
Sudan,Origin,397,172,225
Suriname,Origin,348,154,194
Surrey,Origin,1,0,1
Sweden,Origin,1018,486,532
Switzerland,Origin,797,404,393
Syria,Origin,404,148,256
Székely Land,Origin,23,9,14
Tahiti,Origin,210,94,116
Tajikistan,Origin,144,60,84
Tamil Eelam,Origin,17,7,10
Tanzania,Origin,531,263,268
Thailand,Origin,639,331,308
Tibet,Origin,13,4,9
Timor-Leste,Origin,9,3,6
Togo,Origin,386,154,232
Tonga,Origin,56,23,33
Trinidad and Tobago,Origin,665,304,361
Tunisia,Origin,581,300,281
Turkey,Origin,567,271,296
Turkmenistan,Origin,138,57,81
Turks and Caicos Islands,Origin,27,9,18
Tuvalu,Origin,34,11,23
Two Sicilies,Origin,4,0,4
U.S. Virgin Islands,Origin,54,22,32
Uganda,Origin,624,288,336
Ukraine,Origin,267,131,136
United Arab Emirates,Origin,521,294,227
United Koreans in Japan,Origin,11,8,3
United States,Origin,684,418,266
Uruguay,Origin,884,343,541
Uzbekistan,Origin,275,120,155
Vanuatu,Origin,174,63,111
Vatican City,Origin,6,2,4
Venezuela,Origin,381,163,218
Vietnam,Origin,202,119,83
