Team,iso3,TotalWins,TotalGoalsConceded,TotalGoalsScored
Solomon Islands,SLB,72,344,383
Somalia,SOM,10,136,56
South Africa,ZAF,175,469,532
South Korea,KOR,454,1279,1512
South Sudan,SSD,8,50,32
Spain,ESP,406,1111,1400
Sri Lanka,LKA,40,300,200
Sudan,SDN,133,427,448
Suriname,SUR,153,563,673
Sweden,SWE,500,1690,2015
Switzerland,CHE,280,1263,1164
Syria,SYR,150,447,588
Tahiti,PYF,109,406,564
Tajikistan,TJK,57,185,221
Tanzania,TZA,146,683,599
Thailand,THA,237,967,981
Timor-Leste,TLS,1,16,11
Togo,TGO,119,360,417
Tonga,TON,14,99,67
Trinidad and Tobago,TTO,290,936,1136
Tunisia,TUN,243,765,832
Turkey,TUR,220,724,754
Turkmenistan,TKM,52,170,214
Turks and Caicos Islands,TCA,6,41,24
Tuvalu,TUV,5,51,35
U.S. Virgin Islands,VIR,7,99,29
Uganda,UGA,266,826,965
Ukraine,UKR,123,304,376
United Arab Emirates,ARE,208,815,734
United States,USA,294,1134,994
Uruguay,URY,382,935,1391
Uzbekistan,UZB,120,330,452
Vanuatu,VUT,56,232,341
Vatican City,VAT,0,2,2
Venezuela,VEN,92,460,389
Vietnam,VNM,148,529,620
Wales,GBR,208,917,822
Wallis Islands and Futuna,WLF,5,14,23
Western Sahara,ESH,2,17,11
Yemen,YEM,45,275,215
Yugoslavia,YUG,223,675,940
Zambia,ZMB,328,813,1121
Zimbabwe,ZWE,189,475,625
